PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;196719.75;0.250;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;456796.70;0.500;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2471266.00;1.000;14; ;PROFESIONAL EN EDUCACIÓN ESPECIAL CASED                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;3564840.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL D;3005740.00;1.000;21; ;PROFESIONAL COORDINADOR DE INFORMACIÓN Y DOCUMENTACIÓN                                                                                                                                                                                                          
PROFESIONAL D;2598437.00;1.000;13; ;PROFESIONAL COORDINADOR DE LABORATORIOS DE INFRAESTRUCTURA CIVIL Y VIAL                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;678084.10;0.516;11; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1983411.00;1.000;19; ;Profesional en Sistema de Gestión de Calidad                                                                                                                                                                                                                    
PROFESOR INTERINO;925392.90;0.516;17; ;PROFESIONAL EN PROGRAMAS DEPORTIVOS Y RECREATIVOS DE SEDE                                                                                                                                                                                                       
PROFESIONAL A;719428.00;0.500;15; ;PROFESIONAL EN ACTIVIDADES CULTURALES DE SEDE                                                                                                                                                                                                                   
PROFESOR ASOCIADO                      ;2399075.00;1.000;16; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1652095.00;1.000;10; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2879558.00;1.000;16; ;Profesional en Diseño Físico y Lógico de Redes de Telecomunicaciones                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;179776.70;0.250;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;681938.20;0.427;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1567964.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1191033.00;0.750;10; ;PROFESIONAL EN PROGRAMAS DEPORTIVOS Y RECREATIVOS                                                                                                                                                                                                               
TECNICO ESPECIALIZADO D;2145655.00;1.000;18; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESIONAL C;2831330.00;1.000;17; ;COORDINADOR EN ESTADÍSTICA DE BECAS SOCIOECONÓMICAS                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;377273.05;0.500;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO C;1277063.00;1.000;12; ;TÉCNICO EN ARCHIVÍSTICA                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;2739889.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;829117.50;1.000;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1695424.00;1.000;20; ;TÉCNICO EN GRABACIÓN Y SONIDO RADIOFÓNICO                                                                                                                                                                                                                       
PROFESOR ADJUNTO                       ;2257850.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2430865.00;1.000;16; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
PROFESOR INVITADO II AÑO, EXBEC.DOCTOR ;3065258.00;1.000;14; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;208723.65;0.156;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;788763.85;1.000;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2178218.00;1.000;16; ;PUESTO NO ADMINISTRATIVO 
DIRECTOR DE ESCUELA;2802037.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;818568.35;0.427;10; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2951847.00;1.000;23; ;JEFATURA ADMINISTRATIVA C DE ESCUELA                                                                                                                                                                                                                            
PROFESIONAL B;2032885.00;1.000;14; ;PROFESIONAL EN INFRAESTRUCTURA CIVIL Y VIAL                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO C;1385594.00;1.000;23; ;MENSAJERO-CHOFER                                                                                                                                                                                                                                                
PROFESOR INTERINO LICENCIADO           ;256361.55;0.375;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL D;2849816.00;1.000;16; ;PROFESIONAL COORDINADOR DE CENTRO DE ORIENTACIÓN VOCACIONAL                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;1450782.00;1.000;12; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2119029.00;1.000;23; ;JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            
PROFESIONAL B;601338.00;0.500;7; ;PROFESIONAL EN PRODUCCIÓN AUDIOVISUAL                                                                                                                                                                                                                           
PROFESIONAL B;2113448.00;1.000;15; ;PROFESIONAL EN PRODUCCIÓN RADIOFÓNICA                                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;717140.05;0.480;16; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;162057.45;0.250;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1852004.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2779991.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
DIRECTOR CENTRO INVESTIGACION;4761811.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3837157.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2840949.00;1.000;14; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;78875.40;0.125;2;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2561538.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1820458.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2347445.00;1.000;15; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR EXBECARIO DOCTORADO           ;3026920.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1416834.00;1.000;8; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2302239.00;1.000;22; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
DIRECTOR;1641728.00;1.000;7; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2533093.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;41738.75;0.125;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1882748.00;1.000;11; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2908990.00;1.000;22; ;PENDIENTE.                                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;683630.70;0.625;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2725276.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;196985.30;0.156;6; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL D;3300137.00;1.000;22; ;PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 
PROFESOR INSTRUCTOR                    ;183024.20;0.125;9; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3057534.50;1.000;18; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;1143197.50;0.500;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;113276.40;0.125;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;39376.20;0.125;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;517105.00;0.750;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;150613.75;0.250;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2268334.00;1.000;21; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
TECNICO ESPECIALIZADO B;1572109.00;1.000;18; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;516812.20;0.875;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1810807.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1737588.00;1.000;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2470636.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;382994.70;0.625;1;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;410561.50;0.250;11; ;PUESTO NO ADMINISTRATIVO 
JEFE A;3177749.00;1.000;23; ;JEFE DE CONTROL DE VÍNCULO EXTERNO                                                                                                                                                                                                                              
PROFESIONAL C;3273331.00;1.000;21; ;Profesional en Diseño Físico y Lógico de Redes de Telecomunicaciones                                                                                                                                                                                            
PROFESIONAL A;2268334.00;1.000;21; ;PROFESIONAL EN PRESUPUESTO DE RECURSOS BIBLIOGRÁFICOS                                                                                                                                                                                                           
TECNICO ASISTENCIAL A;586607.00;0.500;19; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL A;2268334.00;1.000;21; ;PROFESIONAL EN INFORMÁTICA                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;1010830.75;0.782;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;908321.50;0.500;18; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2922415.00;1.000;17; ;PROFESIONAL EN AUDITORÍA TÉCNICA                                                                                                                                                                                                                                
TECNICO ASISTENCIAL A;1313599.00;1.000;23; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
PROFESIONAL B;2392868.00;1.000;17; ;PROFESIONAL EN ENFERMERÍA                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;613865.50;0.750;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1253434.00;1.000;23; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1492702.00;1.000;23; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESIONAL C;3294707.00;1.000;23; ;PROFESIONAL ASESOR DE LOS MIEMBROS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                    
JEFE A;3177749.00;1.000;23; ;JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              
TECNICO ESPECIALIZADO B;1468819.00;1.000;21; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
TECNICO ESPECIALIZADO D;1751471.00;1.000;23; ;TÉCNICO EN GESTIÓN DEL SERVICIO DE ALIMENTACIÓN ESTUDIANTIL                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;545436.85;0.281;23; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1666934.00;1.000;23; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO C;1666934.00;1.000;23; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;1397261.25;0.750;17; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1364921.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2302239.00;1.000;21; ;PROFESIONAL EN REFERENCIA BIBLIOGRÁFICA                                                                                                                                                                                                                         
PROFESIONAL A;2180151.50;1.000;20; ;PROFESIONAL EN ARCHIVÍSTICA                                                                                                                                                                                                                                     
PROFESIONAL B;2255647.00;1.000;14; ;PROFESIONAL EN PRODUCCIÓN AUDIOVISUAL                                                                                                                                                                                                                           
TECNICO ASISTENCIAL B;1329787.00;1.000;23; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ESPECIALIZADO A;1408976.00;1.000;23; ;EBANISTA                                                                                                                                                                                                                                                        
PROFESIONAL A;2336143.00;1.000;23; ;JEFATURA ADMINISTRATIVA DE OFICINA                                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;377841.40;0.250;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO;4094327.25;1.250;22; ;PROFESIONAL EN ASESORÍA LEGAL                                                                                                                                                                                                                                   
PROFESOR ASOCIADO                      ;2840715.00;1.000;22; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3363308.00;1.000;14; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1540469.00;1.000;23; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2620855.00;1.000;23; ;PROFESIONAL EN ADMINISTRACIÓN DE SALARIOS                                                                                                                                                                                                                       
TECNICO ESPECIALIZADO B;1492702.00;1.000;23; ;ENCARGADO DE SERVICIOS ADMINISTRATIVOS DE FACULTAD DE CIENCIAS BÁSICAS                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;250468.45;0.188;17; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1824225.00;1.000;23; ;ENCARGADO DE ARMERÍA INSTITUCIONAL                                                                                                                                                                                                                              
TECNICO ASISTENCIAL B;1308511.00;1.000;22; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL A;1253434.00;1.000;23; ;BODEGUERO                                                                                                                                                                                                                                                       
PROFESOR INTERINO LICENCIADO           ;1410696.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1213324.00;1.000;21; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;801340.00;0.500;8; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1890164.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1171296.70;0.677;15; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2131725.00;1.000;11; ;PROFESIONAL EN PSICOLOGÍA DE SEDE                                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;820241.50;0.500;20; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2115214.00;1.000;16; ;PROFESIONAL EN PRODUCCIÓN AUDIOVISUAL                                                                                                                                                                                                                           
TECNICO ESPECIALIZADO B;1492702.00;1.000;22; ;TÉCNICO EN APOYO A EXPEDIENTES Y CERTIFICACIONES                                                                                                                                                                                                                
TRABAJADOR OPERATIVO C;1299367.00;1.000;23; ;CHOFER                                                                                                                                                                                                                                                          
TRABAJADOR OPERATIVO C;1216856.00;1.000;23; ;MENSAJERO-CHOFER                                                                                                                                                                                                                                                
PROFESOR ADJUNTO                       ;2339740.20;1.000;18; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1457447.00;1.000;23; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;248930.70;0.250;11;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1760107.00;1.000;16; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2166621.00;1.000;18; ;JEFATURA ADMINISTRATIVA DE INSTITUTO                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;42821.55;0.063;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;416134.50;0.500;0; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;3030835.00;1.000;22; ;PROFESIONAL EN AUDITORÍA                                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;1960217.30;0.855;16; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2406784.00;1.000;13; ;PROFESIONAL EN DISEÑO ARQUITECTÓNICO DE OEPI                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;754111.00;0.500;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3665822.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;536740.00;0.500;11;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2309010.00;1.000;12; ;PROFESIONAL EN DISEÑO ESTRUCTURAL DE OEPI                                                                                                                                                                                                                       
TECNICO ESPECIALIZADO D;1723448.00;1.000;22; ;TÉCNICO INSTRUCTOR DEL PROGRAMA DE ASISTENCIA DENTAL                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;807962.95;0.605;10; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;2775111.00;1.000;11; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1815515.00;1.000;23; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR EXBECARIO DOCTORADO           ;1798154.00;1.000;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;990659.40;0.677;7; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1617408.00;1.000;22; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
JEFE B;3071459.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
DIRECTOR;3051819.25;1.000;19; ;PUESTO NO ADMINISTRATIVO 
DECANO;3959049.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;3139388.00;1.000;21; ;PROFESIONAL EN ASESORÍA LEGAL                                                                                                                                                                                                                                   
PROFESIONAL A;1915603.00;1.000;17; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN DEL LANAMME A                                                                                                                                                                                                           
PROFESOR INTERINO LICENCIADO           ;165379.85;0.250;7;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;1915603.00;1.000;17; ;PROFESIONAL EN EVALUACIÓN DE RED VIAL                                                                                                                                                                                                                           
PROFESOR INSTRUCTOR                    ;1483672.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3257307.00;1.000;21; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;559501.65;0.371;15; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1202128.00;1.000;16; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESIONAL A;321212.50;0.250;12; ;PROFESIONAL EN APOYO DE PROYECTOS EN SALUD                                                                                                                                                                                                                      
TECNICO ESPECIALIZADO B;118455.95;0.125;11; ;TÉCNICO DE LABORATORIO EN PREPARACIÓN DE MUESTRAS HISTOLÓGICAS                                                                                                                                                                                                  
PROFESOR INTERINO LICENCIADO           ;402694.80;0.500;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1180851.00;1.000;16; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;185683.15;0.250;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3072109.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1329787.00;1.000;22; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
PROFESIONAL B;2539486.00;1.000;14; ;PROFESIONAL EN PSICOLOGÍA DE SEDE                                                                                                                                                                                                                               
PROFESOR INSTRUCTOR                    ;179962.95;0.125;9; ;PUESTO NO ADMINISTRATIVO 
JEFE A;3611842.00;1.000;15; ;JEFE DE PROMOCIÓN DE LA SALUD                                                                                                                                                                                                                                   
PROFESOR ASOCIADO                      ;1149454.50;0.500;16; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2782646.00;1.000;16; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3607736.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;3187157.00;1.000;22; ;PENDIENTE.                                                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;170917.10;0.250;5;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3520170.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;334534.50;0.188;21; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;1682713.00;1.000;8; ;PROFESIONAL COORDINADOR DE RÉGIMEN ACADÉMICO                                                                                                                                                                                                                    
PROFESOR INSTRUCTOR                    ;1983473.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1908058.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;744641.10;1.000;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3336377.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;205323.85;0.250;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;779348.00;0.500;9; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2298870.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;365651.75;0.250;12; ;PUESTO NO ADMINISTRATIVO 
JEFE B;3464703.00;1.000;22; ;JEFE ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                                            
PROFESOR CATEDRATICO                   ;2820432.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1216856.00;1.000;22; ;CHOFER                                                                                                                                                                                                                                                          
PROFESOR INSTRUCTOR                    ;1894014.00;0.855;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO EDUCACION SUPERIOR   ;199020.85;0.250;3;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1891589.00;1.000;22; ;TÉCNICO DE LABORATORIO EN INGENIERÍA MECÁNICA                                                                                                                                                                                                                   
PROFESIONAL C;2908990.00;1.000;22; ;PROFESIONAL ASESOR DE LOS MIEMBROS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                    
TECNICO ASISTENCIAL A;1233379.00;1.000;22; ;ENCARGADO DE EQUIPO AUDIOVISUAL E INSTALACIONES                                                                                                                                                                                                                 
PROFESIONAL C;2922415.00;1.000;17; ;PROFESIONAL EN ASESORÍA DE PROGRAMAS DE POSGRADO                                                                                                                                                                                                                
TECNICO ASISTENCIAL A;1081502.00;1.000;19; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;1723448.00;1.000;22; ;TÉCNICO EN CONTROL DE INGRESOS                                                                                                                                                                                                                                  
PROFESOR ASOCIADO                      ;2353136.00;1.000;14; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;85142.70;0.063;12; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1710974.00;1.000;11; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2468888.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO;3051978.50;1.250;22; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
TRABAJADOR OPERATIVO C;1197387.00;1.000;22; ;BODEGUERO                                                                                                                                                                                                                                                       
PROFESIONAL A;2288143.60;1.000;22; ;PENDIENTE                                                                                                                                                                                                                                                       
TECNICO ESPECIALIZADO B;1468819.00;1.000;22; ;TÉCNICO DE LABORATORIO EN GRANOS Y SEMILLAS                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;1175839.20;0.855;12; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1308511.00;1.000;22; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TRABAJADOR OPERATIVO B;1144699.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;590642.45;1.000;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;960728.50;0.500;14; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2674437.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO A;1386433.00;1.000;22; ;TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               
PROFESOR INTERINO LICENCIADO           ;1116287.25;0.750;16; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO B;1144699.00;1.000;22; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;171286.30;0.250;9;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1332482.00;1.000;11; ;TÉCNICO EN ASTRONOMÍA OBSERVACIONAL                                                                                                                                                                                                                             
PROFESIONAL D;2568547.00;1.000;12; ;PROFESIONAL COORDINADOR DE AUDITORÍA TÉCNICA                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;720677.10;0.782;3; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;3045618.00;1.000;22; ;PROFESIONAL EN DESARROLLO Y GESTIÓN DE SERVICIOS Y PRODUCTOS.                                                                                                                                                                                                   
PROFESOR INTERINO LICENCIADO           ;210097.15;0.250;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;225740.75;0.250;8;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2406784.00;1.000;13; ;PROFESIONAL EN DISEÑO ARQUITECTÓNICO DE OEPI                                                                                                                                                                                                                    
PROFESOR CATEDRATICO                   ;3173727.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
DECANO;4071910.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3175216.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO;724719.00;1.000;6; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
