position,salary,hours,years,respon,salq,years_cut,time
PROFESOR ASOCIADO                      ,1876863.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1555306.0,Tiempo Completo,16,TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
DIRECTOR DE ESCUELA,3721968.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL B,3123827.0,Tiempo Completo,33,PENDIENTE.                                                                                                                                                                                                                                                      ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,3048843.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO B,1256377.0,Tiempo Completo,28,CONSERJE                                                                                                                                                                                                                                                        ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2243191.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,3731304.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2965427.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,2643546.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1938918.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1972817.0,Tiempo Completo,10,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4992843.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3948490.0,Tiempo Completo,28,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,542448.25,3/8 de tiempo,25,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(20.0, 30.0]",2020-08-01
PROFESOR ADJUNTO                       ,2182766.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,942183.45,1/2 tiempo,29,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1111440.0,Tiempo Completo,4,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(-inf, 10.0]",2020-08-01
PROFESOR CATEDRATICO                   ,6508377.0,Tiempo Completo,34,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,500999.6,1/2 tiempo,13,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO B,1564352.0,Tiempo Completo,25,TÉCNICO EN MANTENIMIENTO DE EQUIPO DE LABORATORIO                                                                                                                                                                                                               ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL A,2291173.0,Tiempo Completo,26,JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO C,1353144.0,Tiempo Completo,30,AUXILIAR DE MECÁNICA DE AUTOMOTORES                                                                                                                                                                                                                             ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO C,1724873.0,Tiempo Completo,29,TÉCNICO EN APOYO AL PROCESO ADMINISTRATIVO DE VICERRECTORÍA                                                                                                                                                                                                     ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR ADJUNTO                       ,2255589.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL C,2780417.0,Tiempo Completo,16,PROFESIONAL COORDINADOR DE PRODUCCIÓN RADIOFÓNICA                                                                                                                                                                                                               ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO C,1372614.0,Tiempo Completo,31,AUXILIAR DE LABORATORIO                                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2127624.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,6664280.0,Tiempo Completo,47,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(40.0, 50.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,185683.15,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO EDUCACION SUPERIOR    ,2257860.0,Tiempo Completo,16,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
JEFE A,3787519.0,Tiempo Completo,32,JEFE DE ESTUDIOS DEL CONSEJO UNIVERSITARIO                                                                                                                                                                                                                      ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,1519436.0,1/2 tiempo,20,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO C,1411553.0,Tiempo Completo,32,CHOFER                                                                                                                                                                                                                                                          ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL B,3180491.0,Tiempo Completo,33,PROFESIONAL EN ANÁLISIS ADMINISTRATIVO                                                                                                                                                                                                                          ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4318043.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
DIRECTOR CENTRO REGIONAL,5870938.0,Tiempo Completo,17,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
DIRECTOR DE ESCUELA,5972152.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4160261.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,795993.5,1/2 tiempo,12,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,2280466.5,3/4 de tiempo,27,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO B,1200538.0,Tiempo Completo,25,PENDIENTE                                                                                                                                                                                                                                                       ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
MIEMBRO CONSEJO UNIVERSITARIO,5234349.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4570069.0,Tiempo Completo,35,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,505375.75,3/4 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,28,TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
JEFE A,4089146.0,Tiempo Completo,32,JEFE DE CONTROL DE CALIDAD DE AUDITORIAS                                                                                                                                                                                                                        ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL A,1333653.0,Tiempo Completo,17,OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,2097095.0,Tiempo Completo,36,TÉCNICO EN SERVICIOS DE FONOTECA Y PROGRAMACIÓN RADIOFÓNICA AUTOMATIZADA                                                                                                                                                                                        ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO B,1330829.0,Tiempo Completo,32,CONSERJE                                                                                                                                                                                                                                                        ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL B,375000.0,1/4 de tiempo,27,PENDIENTE...                                                                                                                                                                                                                                                    ,"(330097.5, 552127.8]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,827399.25,5/8 de tiempo,21,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL A,2079311.25,Tiempo Completo,29,PROFESIONAL EN EDICIÓN DE REVISTA                                                                                                                                                                                                                               ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO B,1274990.0,Tiempo Completo,28,CONSERJE                                                                                                                                                                                                                                                        ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL B,1578014.0,Tiempo Completo,35,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO C,1294735.0,Tiempo Completo,27,ENCARGADO DE SERVICIO DE CONSERJERÍA                                                                                                                                                                                                                            ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,162463.6,1/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,148793.1,1/8 de tiempo,9,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,730905.75,5/8 de tiempo,7,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO C,1648212.0,Tiempo Completo,25,TÉCNICO EN CATALOGACIÓN                                                                                                                                                                                                                                         ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,2924837.0,Tiempo Completo,31,JEFATURA ADMINISTRATIVA B DE OFICINA                                                                                                                                                                                                                            ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1024157.5,1/2 tiempo,30,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1540469.0,Tiempo Completo,25,TÉCNICO EN APOYO A ADMISIÓN Y MATRÍCULA                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO C,1909476.0,Tiempo Completo,32,TÉCNICO EN TRÁMITES DE VIÁTICOS AL EXTERIOR                                                                                                                                                                                                                     ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3304725.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,178864.75,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,286280.15,1/4 de tiempo,24,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(20.0, 30.0]",2020-08-01
PROFESOR ADJUNTO                       ,2404136.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1061790.5,1/2 tiempo,29,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,2816634.0,Tiempo Completo,24,PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,7561654.0,Tiempo Completo,46,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(40.0, 50.0]",2020-08-01
TRABAJADOR OPERATIVO C,1411553.0,Tiempo Completo,33,CHOFER                                                                                                                                                                                                                                                          ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
TECNICO ESPECIALIZADO B,1262826.0,3/4 de tiempo,32,TÉCNICO DE LABORATORIO DE COLECCIONES DE PECES Y LARVAS DE PECES                                                                                                                                                                                                ,"(1057817.0, 1294735.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL B,2924837.0,Tiempo Completo,30,PROFESIONAL EN ENFERMERÍA                                                                                                                                                                                                                                       ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2283061.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,48038.95,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL A,1353708.0,Tiempo Completo,28,ASISTENTE DE AGRONOMÍA                                                                                                                                                                                                                                          ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3436145.1,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO                       ,2513784.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,618764.95,3/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
DIRECTOR DE ESCUELA,4366926.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,2685240.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1763379.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,2670738.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1779495.0,Tiempo Completo,24,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL A,1413873.0,Tiempo Completo,31,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4482380.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,3307501.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,261214.5,1/4 de tiempo,5,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESIONAL A,2505666.0,Tiempo Completo,29,JEFATURA ADMINISTRATIVA A DE ESCUELA                                                                                                                                                                                                                            ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,505002.0,1/4 de tiempo,18,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1882248.0,Tiempo Completo,25,TÉCNICO EN TRÁMITES DE BECAS CORTAS AL EXTERIOR                                                                                                                                                                                                                 ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4320318.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,1446104.0,1/2 tiempo,25,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL B,1579178.0,Tiempo Completo,35,SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
JEFE A,3987179.0,Tiempo Completo,29,PENDIENTE                                                                                                                                                                                                                                                       ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2048315.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO A,1521694.0,Tiempo Completo,27,TÉCNICO EN GESTIÓN DE POSGRADOS A                                                                                                                                                                                                                               ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL B,1351064.0,Tiempo Completo,24,ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1492702.0,Tiempo Completo,23,TÉCNICO EN SERVICIOS MULTIMEDIA                                                                                                                                                                                                                                 ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1731535.0,Tiempo Completo,30,TÉCNICO EN MANTENIMIENTO DE EQUIPO                                                                                                                                                                                                                              ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,32,TÉCNICO COORDINADOR DE AUDIO                                                                                                                                                                                                                                    ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO C,1642170.0,Tiempo Completo,24,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,2899506.0,Tiempo Completo,35,PROFESIONAL EN APOYO A LA INVESTIGACIÓN LINGÜÍSTICA                                                                                                                                                                                                             ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR ADJUNTO                       ,2645689.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,163452.55,1/4 de tiempo,13,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,2629982.0,Tiempo Completo,28,PROFESIONAL EN  ADMINISTRACIÓN DEL CATÁLOGO DE BIENES Y SERVICIOS                                                                                                                                                                                               ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1425050.5,3/4 de tiempo,29,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,2792842.0,Tiempo Completo,34,PENDIENTE                                                                                                                                                                                                                                                       ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR ADJUNTO                       ,3346785.0,Tiempo Completo,28,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
DIRECTOR,5104531.0,Tiempo Completo,38,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,398132.6,1/2 tiempo,14,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,2606045.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
JEFE B,4138349.0,Tiempo Completo,29,JEFE DE CENTRO DE INFORMACIÓN Y SERVICIOS  TÉCNICOS                                                                                                                                                                                                             ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,180145.9,1/4 de tiempo,23,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,2060438.5,1/2 tiempo,29,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1731535.0,Tiempo Completo,32,TÉCNICO EN IMPRESIÓN                                                                                                                                                                                                                                            ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL A,2641284.0,Tiempo Completo,32,PROFESIONAL EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                  ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4781542.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
DIRECTOR DE ESCUELA,6061076.0,Tiempo Completo,37,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4384520.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,261641.2,1/4 de tiempo,6,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2059622.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,3184909.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,2886840.0,Tiempo Completo,31,PROFESIONAL EN PSICOLOGÍA DE SELECCIÓN DE PERSONAL                                                                                                                                                                                                              ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ESPECIALIZADO D,2099564.0,Tiempo Completo,36,TÉCNICO EN MECÁNICA DE PRECISIÓN Y SOLDADURA                                                                                                                                                                                                                    ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL B,2139945.0,Tiempo Completo,31,SUPERVISOR DE SEGURIDAD                                                                                                                                                                                                                                         ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,486125.75,1/4 de tiempo,16,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2450002.0,Tiempo Completo,18,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,707096.3,Tiempo Completo,3,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4785280.0,Tiempo Completo,38,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ESPECIALIZADO D,2181166.0,Tiempo Completo,23,TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2146578.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL B,1521277.0,Tiempo Completo,38,SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
DIRECTOR CENTRO REGIONAL,6855470.0,Tiempo Completo,28,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4214047.0,Tiempo Completo,35,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,3,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ESPECIALIZADO D,2097095.0,Tiempo Completo,34,TÉCNICO EN ORIENTACIÓN SOBRE TRÁMITES DE PENSIÓN                                                                                                                                                                                                                ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL A,1507463.0,Tiempo Completo,33,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3783356.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1612119.0,Tiempo Completo,27,TÉCNICO EN SERVICIOS MULTIMEDIA                                                                                                                                                                                                                                 ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,228007.3,1/4 de tiempo,8,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(-inf, 10.0]",2020-08-01
TRABAJADOR OPERATIVO C,1392084.0,Tiempo Completo,32,OPERADOR DE MAQUINARIA AGRÍCOLA                                                                                                                                                                                                                                 ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL B,1535461.0,Tiempo Completo,31,ASISTENTE DE PROGRAMAS DEPORTIVOS Y RECREATIVOS                                                                                                                                                                                                                 ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
